Image File,road,sidewalk,building,wall,fence,pole,traffic light,traffic sign,vegetation,terrain,sky,person,rider,car,truck,bus,train,motorcycle,bicycle
37.56076769806369_126.9223466866906_0_0.jpg,0.1786,0.0213,0.6256,0.0064,0.0081,0.0044,0.0,0.0124,0.0541,0.0,0.0854,0.0,0.0,0.0035,0.0,0.0,0.0,0.0,0.0
37.56410481426703_126.9220710652168_1_180.jpg,0.2433,0.0036,0.4956,0.0121,0.0001,0.015,0.0,0.0,0.1144,0.0,0.1004,0.0032,0.0001,0.0122,0.0,0.0,0.0,0.0,0.0
37.56638776018016_126.9158578228628_0_0.jpg,0.0556,0.1384,0.0858,0.0002,0.0145,0.0009,0.0,0.0096,0.633,0.0351,0.0,0.0026,0.0003,0.0231,0.0005,0.0004,0.0,0.0,0.0
37.5645577042695_126.918522182107_0_0.jpg,0.3097,0.0003,0.3964,0.0,0.0035,0.0004,0.0,0.0043,0.0377,0.0001,0.2062,0.0039,0.0,0.0365,0.0007,0.0002,0.0,0.0002,0.0
37.56538376454885_126.9250238524184_0_0.jpg,0.001,0.009,0.8698,0.0,0.0617,0.001,0.0,0.0019,0.0181,0.0,0.0341,0.0001,0.0,0.0033,0.0,0.0,0.0,0.0,0.0
37.55934754391903_126.9145121525735_0_0.jpg,0.3401,0.0217,0.314,0.0,0.0,0.0166,0.001,0.0026,0.2327,0.0094,0.0452,0.0053,0.0,0.0035,0.008,0.0,0.0,0.0,0.0
37.56355381677907_126.9254088863799_0_0.jpg,0.0,0.0,0.8881,0.0,0.0,0.0,0.0,0.0373,0.0,0.0,0.0,0.0618,0.0,0.0126,0.0,0.0,0.0,0.0,0.0003
37.55529958584226_126.9179735344826_1_180.jpg,0.3929,0.0209,0.3928,0.0,0.0065,0.0014,0.0,0.0013,0.0274,0.0013,0.1502,0.0016,0.001,0.001,0.0014,0.0001,0.0,0.0,0.0001
37.55873385307527_126.9115765810504_0_0.jpg,0.3153,0.0018,0.2794,0.0,0.0164,0.0045,0.0006,0.0064,0.1816,0.0045,0.1097,0.0047,0.0,0.0741,0.0009,0.0,0.0,0.0,0.0
37.56579221379035_126.9177098737121_0_0.jpg,0.2803,0.0115,0.3535,0.0,0.0007,0.0011,0.0,0.0186,0.0797,0.0,0.1927,0.0003,0.0,0.0431,0.0,0.0183,0.0,0.0,0.0
37.56248865882448_126.9020844349652_0_0.jpg,0.3048,0.0017,0.0264,0.0063,0.0595,0.0089,0.0,0.0127,0.4444,0.0336,0.0995,0.0003,0.0,0.002,0.0,0.0,0.0,0.0,0.0
37.55616817835121_126.9211794718685_0_0.jpg,0.4898,0.0027,0.1295,0.0,0.0005,0.0011,0.0,0.0063,0.0945,0.0016,0.2273,0.0017,0.0,0.0449,0.0,0.0,0.0,0.0,0.0
37.56607535330773_126.9225141918538_1_180.jpg,0.0173,0.0132,0.0593,0.097,0.0,0.0161,0.0003,0.0224,0.5039,0.0143,0.06,0.001,0.0,0.1945,0.0,0.0,0.0,0.0008,0.0
37.56623803595882_126.9215551745003_0_0.jpg,0.2009,0.0008,0.5293,0.0,0.0,0.0,0.0,0.003,0.034,0.0001,0.1217,0.001,0.0,0.1093,0.0,0.0,0.0,0.0,0.0
37.56281366568065_126.9224224824142_0_0.jpg,0.1956,0.0006,0.2762,0.0887,0.0,0.0177,0.0,0.0021,0.2466,0.0,0.1539,0.0081,0.0001,0.0103,0.0,0.0,0.0,0.0,0.0001
37.56275505827669_126.9160751393665_1_180.jpg,0.2414,0.0034,0.2259,0.0172,0.0055,0.0042,0.0,0.0016,0.1634,0.0,0.2341,0.0029,0.0028,0.0214,0.0742,0.0,0.0,0.0,0.002
37.56639381463213_126.9201898389519_0_0.jpg,0.0,0.0003,0.8236,0.0,0.0,0.0,0.0012,0.0002,0.1679,0.0015,0.0,0.0053,0.0,0.0,0.0,0.0,0.0,0.0,0.0
