Image File,road,sidewalk,building,wall,fence,pole,traffic light,traffic sign,vegetation,terrain,sky,person,rider,car,truck,bus,train,motorcycle,bicycle,SafeScore,RiskScore,BSS,x,y
37.37222113177206_127.1130965167186_0_0.jpg,0.1449,0.0003,0.4578,0.0,0.0052,0.0001,0.0,0.0002,0.0688,0.0023,0.1154,0.0003,0.0,0.1874,0.0,0.0,0.0,0.0172,0.0003,0.0062,0.3495,0.0177395772830406,127.1130965167186,37.37222113177206
37.36809295885488_127.1120329080113_1_180.jpg,0.2107,0.0,0.1127,0.0,0.0075,0.0,0.0,0.0045,0.2102,0.0004,0.2135,0.0023,0.0004,0.2059,0.0,0.032,0.0,0.0,0.0,0.0098,0.4486,0.0218456936119179,127.1120329080113,37.36809295885488
37.37333738195863_127.1120026358423_1_180.jpg,0.2346,0.0443,0.3446,0.0,0.0,0.0047,0.0,0.0019,0.2692,0.0146,0.0619,0.0007,0.0,0.0235,0.0,0.0,0.0,0.0,0.0,0.0497,0.2581,0.1925602767908687,127.1120026358423,37.37333738195863
37.36933606537462_127.1058973805221_1_180.jpg,0.4123,0.0182,0.28,0.0032,0.0,0.006,0.0,0.0067,0.1786,0.0031,0.0813,0.0052,0.0,0.0034,0.0017,0.0,0.0,0.0001,0.0,0.0294,0.4175,0.0704189930083999,127.1058973805221,37.36933606537462
37.37050945312335_127.1116442778526_1_180.jpg,0.389,0.0142,0.2367,0.0,0.0,0.0006,0.0,0.0047,0.1111,0.0005,0.2054,0.0099,0.0025,0.0245,0.0,0.0,0.0,0.0008,0.0001,0.0248,0.4143,0.0598598603430838,127.1116442778526,37.37050945312335
37.36921638323023_127.1117292857646_1_180.jpg,0.3948,0.0067,0.2079,0.0003,0.0,0.0007,0.0,0.0042,0.0889,0.0002,0.251,0.0014,0.0009,0.0429,0.0002,0.0,0.0,0.0,0.0,0.0088,0.4378999999999999,0.0200958664172952,127.1117292857646,37.36921638323023
37.36045135633666_127.1071428067124_1_180.jpg,0.3405,0.0108,0.1821,0.0,0.0001,0.0002,0.0,0.0037,0.3315,0.003,0.0332,0.002,0.0,0.0924,0.0,0.0,0.0005,0.0,0.0,0.0131,0.4334,0.0302260493169143,127.1071428067124,37.36045135633666
37.37095754891911_127.1121013067032_0_0.jpg,0.2703,0.0001,0.6578,0.0,0.0,0.0,0.0,0.0038,0.0116,0.0,0.0284,0.0011,0.0,0.0268,0.0,0.0,0.0,0.0,0.0,0.0012,0.2971,0.0040390304980461,127.1121013067032,37.37095754891911
37.35916239953963_127.124833790987_0_0.jpg,0.1981,0.0221,0.1505,0.0,0.0,0.0001,0.0,0.0009,0.3247,0.0003,0.1469,0.0006,0.0005,0.1517,0.0,0.0,0.0,0.0035,0.0,0.0228,0.3533,0.0645342073755806,127.124833790987,37.35916239953963
37.36122273563656_127.1181533531168_0_0.jpg,0.2751,0.0001,0.0765,0.0,0.0,0.0,0.0,0.0116,0.4684,0.0697,0.0057,0.0,0.0,0.0929,0.0,0.0,0.0,0.0,0.0,0.0001,0.368,0.0002717383920152,127.1181533531168,37.36122273563656
37.36350076655614_127.1098290610084_0_0.jpg,0.4012,0.01,0.1081,0.0043,0.0074,0.007,0.0008,0.0074,0.1708,0.0025,0.2629,0.0,0.0,0.0176,0.0,0.0,0.0,0.0,0.0,0.0243999999999999,0.4196,0.0581504810522377,127.1098290610084,37.36350076655614
37.36566408046968_127.107466821839_0_0.jpg,0.2242,0.0164,0.5269,0.0,0.0,0.0,0.0,0.0032,0.0409,0.0,0.0299,0.0045,0.0,0.154,0.0,0.0,0.0,0.0,0.0,0.0209,0.3782,0.0552616201437859,127.107466821839,37.36566408046968
37.36933631387776_127.1127515819464_1_180.jpg,0.1501,0.0,0.6793,0.0,0.0096,0.0,0.0,0.0094,0.038,0.0,0.0,0.0001,0.0,0.1134,0.0,0.0,0.0,0.0,0.0,0.0096999999999999,0.2635,0.0368120045085217,127.1127515819464,37.36933631387776
37.36933564239228_127.1115124703921_0_0.jpg,0.1889,0.0001,0.4329,0.0,0.0002,0.0013,0.0,0.001,0.1752,0.0,0.0057,0.0025,0.0,0.1922,0.0,0.0,0.0,0.0,0.0,0.0040999999999999,0.3811,0.0107583029170744,127.1115124703921,37.36933564239228
37.37175771156597_127.1131309610161_1_180.jpg,0.1596,0.0213,0.24,0.0012,0.0001,0.0,0.0,0.0011,0.2247,0.0026,0.1593,0.0023,0.0008,0.1864,0.0005,0.0,0.0,0.0,0.0,0.0237,0.3465,0.068398071001238,127.1131309610161,37.37175771156597
